,Carrier Short Name,Means of Transport,Origin Code,Destination Code,iTMS Mode,Currency,Min Price,Max Price,Chargeable Weight Bracket,Cost per 100kg
100812,GEFCO,,26805K  01,84648H  07,LTL / GRP / HUB,EUR,0.0,2751.65,>20000_HUB,2751.65
100813,GEFCO,,26805K  04,84648H  07,LTL / GRP / HUB,EUR,0.0,2479.47,>20000_HUB,2479.47
100814,GEFCO,,26697T  01,84648H  07,LTL / GRP / HUB,EUR,0.0,2808.19,>20000_HUB,2808.19
100815,GEFCO,,A009CN  01,84648H  07,LTL / GRP / HUB,EUR,0.0,746.08,>20000_HUB,746.08
100816,GEFCO,,A00AF2  01,84648H  07,LTL / GRP / HUB,EUR,0.0,1440.48,>20000_HUB,1440.48
100817,GEFCO,,A0085W  01,84648H  07,LTL / GRP / HUB,EUR,0.0,5176.14,>20000_HUB,5176.14
100818,GEFCO,,78001H  CA,84648H  07,LTL / GRP / HUB,EUR,0.0,1289.87,>20000_HUB,1289.87
100819,GEFCO,,26846E  DF,84648H  07,LTL / GRP / HUB,EUR,0.0,1067.2,>20000_HUB,1067.2
100820,GEFCO,,78001H  MS,84648H  07,LTL / GRP / HUB,EUR,0.0,904.48,>20000_HUB,904.48
100821,GEFCO,,78001H  MU,84648H  07,LTL / GRP / HUB,EUR,0.0,922.48,>20000_HUB,922.48
100822,GEFCO,,78001H  PY,84648H  07,LTL / GRP / HUB,EUR,0.0,1162.96,>20000_HUB,1162.96
100823,GEFCO,,78001H  RJ,84648H  07,LTL / GRP / HUB,EUR,0.0,1407.06,>20000_HUB,1407.06
100824,GEFCO,,78001H  SX,84648H  07,LTL / GRP / HUB,EUR,0.0,961.36,>20000_HUB,961.36
100825,GEFCO,,78001H  MY,84648H  07,LTL / GRP / HUB,EUR,0.0,919.6,>20000_HUB,919.6
100826,GEFCO,,78001H  VA,84648H  07,LTL / GRP / HUB,EUR,0.0,1024.72,>20000_HUB,1024.72
100827,GEFCO,,A00A5Y  01,84648H  07,LTL / GRP / HUB,EUR,0.0,491.4,>20000_HUB,491.4
100828,GEFCO,,26859U  06,84648H  07,LTL / GRP / HUB,EUR,0.0,1038.4,>20000_HUB,1038.4
100829,GEFCO,,78001H  VE,96014M  01,LTL / GRP / HUB,EUR,0.0,731.61,>20000_HUB,731.61
100830,GEFCO,,A00ANR  01,96014M  01,LTL / GRP / HUB,EUR,135.81437724605334,464.073210719,>20000_HUB,464.073210719
100831,GEFCO,,90009K  TH,96014M  01,LTL / GRP / HUB,EUR,0.0,1052.9,>20000_HUB,1052.9
100832,GEFCO,,98120B  01,96014M  01,LTL / GRP / HUB,EUR,0.0,432.58,>20000_HUB,432.58
100833,GEFCO,,26805K  04,96014M  01,LTL / GRP / HUB,EUR,0.0,2273.94,>20000_HUB,2273.94
100834,GEFCO,,26697T  01,96014M  01,LTL / GRP / HUB,EUR,0.0,2402.77,>20000_HUB,2402.77
100835,GEFCO,,A009KB  02,96014M  01,LTL / GRP / HUB,EUR,0.0,652.5,>20000_HUB,652.5
100836,GEFCO,,A009CN  01,96014M  01,LTL / GRP / HUB,EUR,220.59533946980758,677.182833851125,>20000_HUB,677.182833851125
100837,GEFCO,,A0085W  01,96014M  01,LTL / GRP / HUB,EUR,0.0,4806.82,>20000_HUB,4806.82
100838,GEFCO,,78001H  CA,96014M  01,LTL / GRP / HUB,EUR,0.0,1105.38,>20000_HUB,1105.38
100839,GEFCO,,26846E  DF,96014M  01,LTL / GRP / HUB,EUR,0.0,900.43,>20000_HUB,900.43
100840,GEFCO,,78001H  MS,96014M  01,LTL / GRP / HUB,EUR,0.0,700.83,>20000_HUB,700.83
100841,GEFCO,,78001H  MU,96014M  01,LTL / GRP / HUB,EUR,0.0,635.81,>20000_HUB,635.81
100842,GEFCO,,78001H  PY,96014M  01,LTL / GRP / HUB,EUR,0.0,890.75,>20000_HUB,890.75
100843,GEFCO,,78001H  RJ,96014M  01,LTL / GRP / HUB,EUR,0.0,1185.0,>20000_HUB,1185.0
100844,GEFCO,,26859U  06,96014M  01,LTL / GRP / HUB,EUR,0.0,857.96,>20000_HUB,857.96
100845,GEFCO,,78001H  SX,96014M  01,LTL / GRP / HUB,EUR,0.0,688.06,>20000_HUB,688.06
100846,GEFCO,,78001H  MY,96014M  01,LTL / GRP / HUB,EUR,0.0,663.87,>20000_HUB,663.87
100847,GEFCO,,78001H  VA,96014M  01,LTL / GRP / HUB,EUR,0.0,873.39,>20000_HUB,873.39
100848,GEFCO,,A00A5Y  01,96014M  01,LTL / GRP / HUB,EUR,0.0,668.67,>20000_HUB,668.67
100849,GEFCO,,78001H  VE,99049L  02,LTL / GRP / HUB,EUR,0.0,1756.7,>20000_HUB,1756.7
100850,GEFCO,,A009CN  02,99049L  02,LTL / GRP / HUB,EUR,0.0,1683.39,>20000_HUB,1683.39
100851,GEFCO,,A00ANR  01,99049L  02,LTL / GRP / HUB,EUR,0.0,816.95,>20000_HUB,816.95
100852,GEFCO,,A003Q7  04,99049L  02,LTL / GRP / HUB,EUR,0.0,1448.03,>20000_HUB,1448.03
100853,GEFCO,,A003Q7  01,99049L  02,LTL / GRP / HUB,EUR,0.0,1439.95,>20000_HUB,1439.95
100854,GEFCO,,90009K  TH,99049L  02,LTL / GRP / HUB,EUR,0.0,2594.59,>20000_HUB,2594.59
100855,GEFCO,,98120B  01,99049L  02,LTL / GRP / HUB,EUR,0.0,817.1,>20000_HUB,817.1
100856,GEFCO,,26805K  01,99049L  02,LTL / GRP / HUB,EUR,0.0,3081.08,>20000_HUB,3081.08
100857,GEFCO,,26805K  04,99049L  02,LTL / GRP / HUB,EUR,0.0,2742.16,>20000_HUB,2742.16
100858,GEFCO,,26697T  01,99049L  02,LTL / GRP / HUB,EUR,0.0,2957.84,>20000_HUB,2957.84
100859,GEFCO,,A003Q7  02,99049L  02,LTL / GRP / HUB,EUR,0.0,1545.32,>20000_HUB,1545.32
100860,GEFCO,,A009KB  02,99049L  02,LTL / GRP / HUB,EUR,0.0,1602.76,>20000_HUB,1602.76
